Year	Commodity	Product	Volume
2004	Gas	Processed (Residue) Gas (mcf)	2534751373.00
2004	Gas	Unprocessed (Wet) Gas (mcf)	3397113668.81
2004	NGL	Gas Plant Products (gal)	4333185103.61
2004	Oil	Oil (bbl)	606921652.68
2004	Oil	Other Liquid Hydrocarbons (bbl)	19306.34
2004	Sulfur	Sulfur (lton)	3224892.41
2004	Clay	Clay (ton)	55116.00
2004	Coal	Coal (ton)	453540253.00
2004	Gas	Fuel Gas (mcf)	12948690.15
2004	Oil	Condensate (bbl)	60855724.50
2004	Gas	Coal Bed Methane (mcf)	391884080.09
2004	Quartz Crystal	Quartz Crystal (lb)	7956.00
2004	Salt	Salt (ton)	363597.00
2004	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	1717154183.76
2004	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	212770.98
2004	Gas	Gas Lost - Flared or Vented (mcf)	278015.97
2004	Oil	Fuel Oil (bbl)	82.15
2004	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	2576891204.66
2004	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	165884.74
2004	Anhydrous Sodium Sulfate	Anhydrous Sodium Sulfate (ton)	170391.00
2004	Borax-Decahydrate	Borax-Decahydrate (ton)	11424.00
2004	Borax-Pentahydrate	Borax-Pentahydrate (ton)	10528.00
2004	Boric Acid	Boric Acid (ton)	17904.00
2004	Soda Ash	Soda Ash (ton)	2982000.00
2004	Sodium Bi-Carbonate	Sodium Bi-Carbonate (ton)	170917.00
2004	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2) (mcf)	330598923.13
2004	Oil	Drip or Scrubber Condensate (bbl)	1554420.88
2004	Carbon Dioxide	Carbon Dioxide (ton)	121.00
2004	Phosphate Raw Ore	Phosphate Raw Ore (ton)	4293007.00
2004	Gold	Gold (ton)	26.00
2004	Copper Concentrate	Copper Concentrate (ton)	15754.00
2004	Lead Concentrate	Lead Concentrate (ton)	244868.00
2004	Zinc Concentrate	Zinc Concentrate (ton)	61656.00
2004	Gas	Nitrogen (mcf)	78634.30
2004	Gas	Flash Gas (mcf)	3670372.56
2004	Brine Barrels	Brine Barrels (bbl)	57816.00
2004	Langbeinite	Langbeinite (ton)	854891.00
2004	Muriate Of Potash-Granular	Muriate Of Potash-Granular (ton)	465127.00
2004	Muriate Of Potash-Standard	Muriate Of Potash-Standard (ton)	198675.00
2004	Potash	Potash (ton)	446050.00
2004	Geothermal	Geothermal - Direct Utilization, Hundreds of Gallons (cgal)	104184341.00
2004	Sand/Gravel	Sand/Gravel (ton)	524208.00
2004	Oil	Inlet Scrubber (bbl)	31865.65
2004	Magnesium Chloride Brine	Magnesium Chloride Brine (ton)	58204.00
2004	Manure Salts	Manure Salts (ton)	6043.00
2004	Gilsonite	Gilsonite (ton)	18458.00
2004	Limestone	Limestone (ton)	126597.00
2004	Purge Liquor	Purge Liquor (ton)	41385.00
2004	Sodium Sesquicarbonate	Sodium Sesquicarbonate (ton)	43432.00
2004	Trona Ore	Trona Ore (ton)	5480.00
2005	Gas	Processed (Residue) Gas (mcf)	2369378533.45
2005	Gas	Unprocessed (Wet) Gas (mcf)	3046186936.83
2005	NGL	Gas Plant Products (gal)	3748186996.16
2005	Oil	Oil (bbl)	554257462.34
2005	Oil	Other Liquid Hydrocarbons (bbl)	11579.87
2005	Sulfur	Sulfur (lton)	2213309.28
2005	Clay	Clay (ton)	63734.00
2005	Oil	Condensate (bbl)	55845763.15
2005	Gas	Coal Bed Methane (mcf)	433135161.13
2005	Gas	Fuel Gas (mcf)	11404676.05
2005	Quartz Crystal	Quartz Crystal (lb)	10236.00
2005	Salt	Salt (ton)	353162.00
2005	Geothermal	Geothermal - Electrical Generation, Kilowatt Hours (kwh)	1670047946.60
2005	Geothermal	Geothermal - Electrical Generation, Other (mmbtu)	204030.26
2005	Gas	Gas Lost - Flared or Vented (mcf)	332213.84
2005	Oil	Fuel Oil (bbl)	32.00
2005	Oil	Inlet Scrubber (bbl)	57094.54
2005	Geothermal	Geothermal - Electrical Generation, Thousands of Pounds (klb)	2343379429.84
2005	Geothermal	Geothermal - Direct Utilization, Millions of BTUs (mmbtu)	260242.35
2005	Anhydrous Sodium Sulfate	Anhydrous Sodium Sulfate (ton)	165121.00
2005	Borax-Anhydrous	Borax-Anhydrous (ton)	905.00
2005	Borax-Decahydrate	Borax-Decahydrate (ton)	8170.00
2005	Borax-Pentahydrate	Borax-Pentahydrate (ton)	10324.00
2005	Boric Acid	Boric Acid (ton)	15829.00
2005	Soda Ash	Soda Ash (ton)	4335251.00
2005	Sodium Bi-Carbonate	Sodium Bi-Carbonate (ton)	117939.00
2005	Coal	Coal (ton)	434497830.01
2005	Carbon Dioxide Gas	Carbon Dioxide Gas (CO2) (mcf)	365670611.84
2005	Oil	Drip or Scrubber Condensate (bbl)	1433828.73
